run_id,hypothesis,symbol,partition,scenario,params,start,end,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,longest_dd_sessions,worst_day,worst_week,worst_month,final_equity,n_trades,win_rate,avg_win,avg_loss,profit_factor,ev_per_trade,worst_trade,median_holding_days
BENCH_IWM_base_3130abb4,BENCH,IWM,train,base,"{""budget_pct"": 0.1}",2018-08-01,2022-12-31,-0.0871,0.304,-0.19,-0.29,-0.4722,-0.18,589,-0.0789,-0.1136,-0.1941,6685.34,72,0.431,488.91,-455.95,0.81,-49.13,-993.25,21.0
BENCH_QQQ_base_3130abb4,BENCH,QQQ,train,base,"{""budget_pct"": 0.1}",2018-08-01,2022-12-31,0.1997,0.3297,0.69,1.04,-0.3641,0.55,306,-0.0986,-0.1045,-0.1472,22323.49,72,0.514,1449.31,-1182.47,1.3,169.97,-2613.3,21.0
BENCH_SPY_base_3130abb4,BENCH,SPY,train,base,"{""budget_pct"": 0.1}",2018-08-01,2022-12-31,0.0872,0.2961,0.39,0.58,-0.3865,0.23,287,-0.1086,-0.1129,-0.151,14456.71,69,0.464,918.32,-683.53,1.16,59.36,-1776.3,23.0
H1_IWM_base_3fe81836,H1,IWM,train,base,"{""budget_pct"": 0.1, ""confirm_ret5"": 0.02, ""dd_thresh"": 0.15, ""dte_hi"": 80, ""dte_lo"": 45, ""dte_target"": 60, ""hold_days"": 60, ""target_delta"": 0.5}",2018-08-01,2022-12-31,0.0563,0.1674,0.35,0.34,-0.1722,0.33,153,-0.0613,-0.0797,-0.0815,12732.29,13,0.385,1176.67,-457.0,1.61,171.33,-996.9,55.0
H1_IWM_base_3f6586dd,H1,IWM,train,base,"{""budget_pct"": 0.1, ""confirm_ret5"": 0.02, ""dd_thresh"": 0.12, ""dte_hi"": 65, ""dte_lo"": 30, ""dte_target"": 45, ""hold_days"": 40, ""target_delta"": 0.5}",2018-08-01,2022-12-31,0.0829,0.209,0.44,0.5,-0.3015,0.27,476,-0.0714,-0.0925,-0.0773,14210.87,20,0.5,1292.96,-926.68,1.4,183.14,-1431.8,40.0
H1_IWM_base_b90bbfd7,H1,IWM,train,base,"{""budget_pct"": 0.1, ""confirm_ret5"": 0.02, ""dd_thresh"": 0.12, ""dte_hi"": 65, ""dte_lo"": 30, ""dte_target"": 45, ""hold_days"": 40, ""target_delta"": 0.35}",2018-08-01,2022-12-31,0.012,0.2815,0.14,0.16,-0.4112,0.03,476,-0.1436,-0.1887,-0.152,10542.64,21,0.381,1412.5,-863.77,1.01,3.38,-1522.8,40.0
H1_IWM_base_892976a6,H1,IWM,train,base,"{""budget_pct"": 0.1, ""confirm_ret5"": 0.02, ""dd_thresh"": 0.15, ""dte_hi"": 65, ""dte_lo"": 30, ""dte_target"": 45, ""hold_days"": 40, ""target_delta"": 0.35}",2018-08-01,2022-12-31,-0.0022,0.2766,0.09,0.09,-0.389,-0.01,627,-0.1537,-0.2011,-0.1117,9901.56,16,0.375,1219.84,-790.67,0.93,-36.73,-1114.95,40.0
H1_IWM_base_41b72fdb,H1,IWM,train,base,"{""budget_pct"": 0.1, ""confirm_ret5"": 0.02, ""dd_thresh"": 0.12, ""dte_hi"": 80, ""dte_lo"": 45, ""dte_target"": 60, ""hold_days"": 60, ""target_delta"": 0.5}",2018-08-01,2022-12-31,0.0361,0.1871,0.23,0.25,-0.2264,0.16,318,-0.0661,-0.0857,-0.0815,11692.59,16,0.375,1065.12,-517.56,1.23,75.94,-996.9,55.5
H1_IWM_base_57d2766f,H1,IWM,train,base,"{""budget_pct"": 0.1, ""confirm_ret5"": 0.02, ""dd_thresh"": 0.12, ""dte_hi"": 80, ""dte_lo"": 45, ""dte_target"": 60, ""hold_days"": 60, ""target_delta"": 0.35}",2018-08-01,2022-12-31,0.0622,0.2916,0.32,0.36,-0.359,0.17,434,-0.0991,-0.1722,-0.1782,13053.98,16,0.438,1489.84,-875.28,1.32,159.46,-1535.1,55.5
H1_IWM_base_23fd8388,H1,IWM,train,base,"{""budget_pct"": 0.1, ""confirm_ret5"": 0.02, ""dd_thresh"": 0.15, ""dte_hi"": 65, ""dte_lo"": 30, ""dte_target"": 45, ""hold_days"": 40, ""target_delta"": 0.5}",2018-08-01,2022-12-31,0.0245,0.1754,0.16,0.16,-0.2496,0.1,539,-0.0688,-0.0892,-0.07,11125.14,16,0.438,864.5,-603.5,1.11,38.75,-932.3,40.0
