exp_id,timestamp_utc,hypothesis,partition,underlying,config,scenario,n,metric,value,ci_lo,ci_hi,verdict,notes
1,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd8_ma20_h21,n/a,1073,fwd_mean_diff_pct,-0.019999999999999907,-0.87,0.95,,"episodes=130, pct_days=23.7"
2,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd8_ma20_h42,n/a,1073,fwd_mean_diff_pct,-0.8299999999999998,-2.95,1.54,,"episodes=130, pct_days=23.7"
3,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd8_ret5_h21,n/a,471,fwd_mean_diff_pct,-0.18999999999999995,-1.4,0.85,,"episodes=170, pct_days=10.4"
4,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd8_ret5_h42,n/a,471,fwd_mean_diff_pct,-0.4999999999999999,-2.94,1.93,,"episodes=170, pct_days=10.4"
5,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd8_zone_h21,n/a,2003,fwd_mean_diff_pct,-0.29,-1.32,0.72,,"episodes=10, pct_days=44.2"
6,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd8_zone_h42,n/a,2003,fwd_mean_diff_pct,-0.74,-2.82,1.35,,"episodes=10, pct_days=44.2"
7,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd10_ma20_h21,n/a,928,fwd_mean_diff_pct,0.08000000000000007,-0.82,1.08,,"episodes=111, pct_days=20.5"
8,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd10_ma20_h42,n/a,928,fwd_mean_diff_pct,-0.7499999999999999,-3.12,1.88,,"episodes=111, pct_days=20.5"
9,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd10_ret5_h21,n/a,416,fwd_mean_diff_pct,-0.11999999999999994,-1.35,0.99,,"episodes=149, pct_days=9.2"
10,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd10_ret5_h42,n/a,416,fwd_mean_diff_pct,-0.31999999999999995,-2.61,2.33,,"episodes=149, pct_days=9.2"
11,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd10_zone_h21,n/a,1758,fwd_mean_diff_pct,-0.30999999999999994,-1.41,0.79,,"episodes=8, pct_days=38.8"
12,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd10_zone_h42,n/a,1758,fwd_mean_diff_pct,-0.71,-3.15,1.5,,"episodes=8, pct_days=38.8"
13,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd15_ma20_h21,n/a,648,fwd_mean_diff_pct,-0.22999999999999998,-1.44,0.94,,"episodes=79, pct_days=14.3"
14,2026-07-29T15:34:47+00:00,H1,preval_2000_2017,SPY,H1_dd15_ma20_h42,n/a,648,fwd_mean_diff_pct,-1.15,-4.14,2.14,,"episodes=79, pct_days=14.3"
