symbol,strategy,start,end,sessions,final_equity,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,longest_dd_sessions,worst_day,worst_week,worst_month,n_calls_written,n_called_away
SPY,buyhold,2018-08-01,2026-07-22,1990,81264.11,1.8351,0.1396,0.1735,0.7,0.87,-0.3323,0.42,484,-0.0757,-0.1262,-0.1017,0,0
SPY,naive_cc,2018-08-01,2026-07-22,1990,71057.97,1.479,0.1206,0.1501,0.67,0.75,-0.3111,0.39,514,-0.0742,-0.1181,-0.0931,72,28
SPY,gated_cc,2018-08-01,2026-07-22,1990,83089.95,1.8988,0.1428,0.1617,0.75,0.87,-0.3276,0.44,389,-0.0753,-0.1241,-0.1012,63,23
SPY,fwdret_cc,2018-08-01,2026-07-22,1990,75839.12,1.6458,0.1298,0.1744,0.64,0.77,-0.3308,0.39,488,-0.0762,-0.1253,-0.1023,40,14
QQQ,buyhold,2018-08-01,2026-07-22,1977,73153.5,3.0511,0.1918,0.2242,0.79,1.09,-0.3406,0.56,508,-0.0734,-0.119,-0.1328,0,0
QQQ,naive_cc,2018-08-01,2026-07-22,1977,69195.43,2.8319,0.1835,0.2225,0.76,1.02,-0.3345,0.55,532,-0.0753,-0.1216,-0.1356,14,5
QQQ,gated_cc,2018-08-01,2026-07-22,1977,69328.33,2.8393,0.1838,0.2245,0.76,1.01,-0.3477,0.53,507,-0.0757,-0.121,-0.1362,20,7
QQQ,fwdret_cc,2018-08-01,2026-07-22,1977,67042.06,2.7126,0.1788,0.2259,0.74,0.99,-0.3486,0.51,507,-0.0754,-0.1217,-0.136,18,7
IWM,buyhold,2018-08-01,2026-07-22,1948,31908.28,0.8876,0.0829,0.233,0.36,0.5,-0.411,0.2,717,-0.095,-0.1826,-0.2096,0,0
IWM,naive_cc,2018-08-01,2026-07-22,1948,33707.13,0.994,0.0904,0.2109,0.4,0.51,-0.451,0.2,555,-0.0999,-0.1908,-0.2188,56,15
IWM,gated_cc,2018-08-01,2026-07-22,1948,32502.25,0.9227,0.0855,0.2157,0.38,0.5,-0.3877,0.22,638,-0.09,-0.1745,-0.1996,44,9
IWM,fwdret_cc,2018-08-01,2026-07-22,1948,34393.1,1.0346,0.0932,0.2124,0.42,0.55,-0.3914,0.24,703,-0.0901,-0.1741,-0.1999,37,9
