symbol,strategy,start,end,sessions,final_equity,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,longest_dd_sessions,worst_day,worst_week,worst_month,n_calls_written,n_called_away
SPY,buyhold,2018-08-01,2026-07-22,1990,81264.11,1.8351,0.1396,0.1735,0.7,0.87,-0.3323,0.42,484,-0.0757,-0.1262,-0.1017,0,0
SPY,naive_cc,2018-08-01,2026-07-22,1990,76447.23,1.6671,0.1309,0.1586,0.7,0.81,-0.3269,0.4,484,-0.0739,-0.1265,-0.097,78,21
SPY,gated_cc,2018-08-01,2026-07-22,1990,81395.93,1.8397,0.1399,0.1671,0.72,0.86,-0.3292,0.42,469,-0.0752,-0.1253,-0.1011,63,10
SPY,fwdret_cc,2018-08-01,2026-07-22,1990,77564.31,1.706,0.133,0.1741,0.66,0.8,-0.3305,0.4,485,-0.0757,-0.1256,-0.1016,49,10
QQQ,buyhold,2018-08-01,2026-07-22,1977,73153.5,3.0511,0.1918,0.2242,0.79,1.09,-0.3406,0.56,508,-0.0734,-0.119,-0.1328,0,0
QQQ,naive_cc,2018-08-01,2026-07-22,1977,69920.07,2.872,0.1851,0.226,0.76,1.04,-0.3483,0.53,507,-0.0741,-0.1215,-0.1356,9,3
QQQ,gated_cc,2018-08-01,2026-07-22,1977,69039.16,2.8232,0.1832,0.2253,0.75,1.02,-0.3456,0.53,509,-0.0752,-0.1201,-0.1357,19,6
QQQ,fwdret_cc,2018-08-01,2026-07-22,1977,70557.95,2.9073,0.1864,0.2172,0.79,1.04,-0.3403,0.55,483,-0.0727,-0.0946,-0.1335,41,9
IWM,buyhold,2018-08-01,2026-07-22,1948,31908.28,0.8876,0.0829,0.233,0.36,0.5,-0.411,0.2,717,-0.095,-0.1826,-0.2096,0,0
IWM,naive_cc,2018-08-01,2026-07-22,1948,33606.87,0.988,0.09,0.2222,0.39,0.53,-0.4358,0.21,640,-0.0985,-0.1885,-0.2116,57,7
IWM,gated_cc,2018-08-01,2026-07-22,1948,33515.11,0.9826,0.0896,0.2132,0.4,0.53,-0.3941,0.23,634,-0.0914,-0.1767,-0.2021,54,6
IWM,fwdret_cc,2018-08-01,2026-07-22,1948,33878.86,1.0041,0.0911,0.2206,0.4,0.54,-0.3986,0.23,718,-0.0921,-0.1776,-0.2037,38,3
