run_id,hyp,symbol,scenario,params,cagr,ann_vol,sharpe,max_drawdown,final_equity,n_trades,win_rate,avg_win,avg_loss,profit_factor,ev_per_trade,total_pnl,worst_trade,best_trade,median_holding_days,util,yearly
H1_QQQ_base_57d2766f,H1,QQQ,base,"{'dd_thresh': 0.12, 'confirm_ret5': 0.02, 'target_delta': 0.35, 'dte_target': 60, 'dte_lo': 45, 'dte_hi': 80, 'hold_days': 60, 'budget_pct': 0.1}",-0.0731,0.1812,-0.4,-0.3856,7154.74,11,0.273,835.05,-648.78,0.48,-244.1,-2685.05,-990.6,2095.6,60.0,0.027,"{2018: -0.0905, 2019: -0.0087, 2020: 0.1961, 2021: -0.014, 2022: -0.3272}"
H1_QQQ_base_b90bbfd7,H1,QQQ,base,"{'dd_thresh': 0.12, 'confirm_ret5': 0.02, 'target_delta': 0.35, 'dte_target': 45, 'dte_lo': 30, 'dte_hi': 65, 'hold_days': 40, 'budget_pct': 0.1}",-0.0443,0.2118,-0.16,-0.4014,8188.38,15,0.4,830.45,-741.05,0.75,-112.45,-1686.75,-1010.75,2751.7,40.0,0.025,"{2018: -0.0822, 2019: 0.0729, 2020: 0.2023, 2021: 0.0004, 2022: -0.3087}"
H1_SPY_base_23fd8388,H1,SPY,base,"{'dd_thresh': 0.15, 'confirm_ret5': 0.02, 'target_delta': 0.5, 'dte_target': 45, 'dte_lo': 30, 'dte_hi': 65, 'hold_days': 40, 'budget_pct': 0.1}",0.013,0.1324,0.08,-0.2877,10584.61,9,0.444,897.97,-710.08,1.01,4.61,41.5,-1207.15,1527.6,40.0,0.016,"{2018: 0.0088, 2019: 0.121, 2020: 0.1447, 2021: 0.0004, 2022: -0.1827}"
H1_SPY_base_57d2766f,H1,SPY,base,"{'dd_thresh': 0.12, 'confirm_ret5': 0.02, 'target_delta': 0.35, 'dte_target': 60, 'dte_lo': 45, 'dte_hi': 80, 'hold_days': 60, 'budget_pct': 0.1}",0.0315,0.2338,0.2,-0.3427,11469.18,9,0.444,1069.65,-550.23,1.56,169.72,1527.45,-982.6,1787.7,55.0,0.034,"{2018: 0.0088, 2019: 0.1018, 2020: 0.1746, 2021: 0.0004, 2022: -0.1218}"
H1_SPY_base_b90bbfd7,H1,SPY,base,"{'dd_thresh': 0.12, 'confirm_ret5': 0.02, 'target_delta': 0.35, 'dte_target': 45, 'dte_lo': 30, 'dte_hi': 65, 'hold_days': 40, 'budget_pct': 0.1}",0.0194,0.2112,0.14,-0.354,10887.13,11,0.545,1079.97,-998.79,1.3,135.08,1485.85,-1263.3,1980.7,40.0,0.025,"{2018: 0.0088, 2019: 0.044, 2020: 0.2584, 2021: 0.0004, 2022: -0.1789}"
H1_SPY_base_892976a6,H1,SPY,base,"{'dd_thresh': 0.15, 'confirm_ret5': 0.02, 'target_delta': 0.35, 'dte_target': 45, 'dte_lo': 30, 'dte_hi': 65, 'hold_days': 40, 'budget_pct': 0.1}",0.1055,0.1883,0.57,-0.2345,15569.06,9,0.556,1776.36,-979.47,2.27,551.54,4963.9,-1279.3,4218.2,40.0,0.02,"{2018: 0.0088, 2019: 0.1433, 2020: 0.2363, 2021: 0.0004, 2022: 0.0914}"
H1_SPY_base_a3d6703e,H1,SPY,base,"{'dd_thresh': 0.15, 'confirm_ret5': 0.02, 'target_delta': 0.35, 'dte_target': 60, 'dte_lo': 45, 'dte_hi': 80, 'hold_days': 60, 'budget_pct': 0.1}",0.0432,0.2303,0.25,-0.3056,12051.88,8,0.5,1069.65,-544.49,1.96,262.58,2100.65,-982.6,1787.7,54.5,0.032,"{2018: 0.0088, 2019: 0.1018, 2020: 0.1746, 2021: 0.0004, 2022: -0.0772}"
H1_SPY_base_41b72fdb,H1,SPY,base,"{'dd_thresh': 0.12, 'confirm_ret5': 0.02, 'target_delta': 0.5, 'dte_target': 60, 'dte_lo': 45, 'dte_hi': 80, 'hold_days': 60, 'budget_pct': 0.1}",0.0265,0.1359,0.18,-0.2184,11224.48,5,0.6,845.93,-920.12,1.38,139.51,697.55,-1141.95,1239.85,55.0,0.02,"{2018: 0.0088, 2019: 0.0752, 2020: 0.1233, 2021: 0.0004, 2022: -0.0791}"
H1_SPY_base_3f6586dd,H1,SPY,base,"{'dd_thresh': 0.12, 'confirm_ret5': 0.02, 'target_delta': 0.5, 'dte_target': 45, 'dte_lo': 30, 'dte_hi': 65, 'hold_days': 40, 'budget_pct': 0.1}",0.0158,0.1542,0.11,-0.2415,10716.9,9,0.444,1136.79,-871.47,1.04,21.09,189.8,-1148.15,1392.1,40.0,0.02,"{2018: 0.0088, 2019: 0.0399, 2020: 0.1766, 2021: 0.0004, 2022: -0.1321}"
H1_SPY_base_3fe81836,H1,SPY,base,"{'dd_thresh': 0.15, 'confirm_ret5': 0.02, 'target_delta': 0.5, 'dte_target': 60, 'dte_lo': 45, 'dte_hi': 80, 'hold_days': 60, 'budget_pct': 0.1}",0.0252,0.1365,0.17,-0.2218,11159.13,5,0.6,845.93,-952.73,1.33,126.47,632.35,-1207.15,1239.85,55.0,0.02,"{2018: 0.0088, 2019: 0.0752, 2020: 0.1233, 2021: 0.0004, 2022: -0.0845}"
H1_QQQ_base_3f6586dd,H1,QQQ,base,"{'dd_thresh': 0.12, 'confirm_ret5': 0.02, 'target_delta': 0.5, 'dte_target': 45, 'dte_lo': 30, 'dte_hi': 65, 'hold_days': 40, 'budget_pct': 0.1}",-0.0069,0.1709,-0.02,-0.3621,9700.55,13,0.462,969.7,-945.78,0.88,-61.71,-802.25,-1242.65,1898.85,40.0,0.026,"{2018: -0.044, 2019: 0.0704, 2020: 0.3221, 2021: 0.0004, 2022: -0.2833}"
H1_QQQ_base_41b72fdb,H1,QQQ,base,"{'dd_thresh': 0.12, 'confirm_ret5': 0.02, 'target_delta': 0.5, 'dte_target': 60, 'dte_lo': 45, 'dte_hi': 80, 'hold_days': 60, 'budget_pct': 0.1}",0.0261,0.1511,0.17,-0.2449,11204.7,9,0.556,1014.3,-837.83,1.51,191.13,1720.2,-1242.9,2211.6,48.0,0.026,"{2018: -0.0495, 2019: 0.0175, 2020: 0.4952, 2021: -0.0058, 2022: -0.2207}"
H1_IWM_base_b90bbfd7,H1,IWM,base,"{'dd_thresh': 0.12, 'confirm_ret5': 0.02, 'target_delta': 0.35, 'dte_target': 45, 'dte_lo': 30, 'dte_hi': 65, 'hold_days': 40, 'budget_pct': 0.1}",0.012,0.2815,0.14,-0.4112,10542.64,21,0.381,1412.5,-863.77,1.01,3.38,71.05,-1522.8,3361.2,40.0,0.04,"{2018: -0.0854, 2019: -0.1463, 2020: 0.645, 2021: 0.1187, 2022: -0.2662}"
H1_IWM_base_57d2766f,H1,IWM,base,"{'dd_thresh': 0.12, 'confirm_ret5': 0.02, 'target_delta': 0.35, 'dte_target': 60, 'dte_lo': 45, 'dte_hi': 80, 'hold_days': 60, 'budget_pct': 0.1}",0.0622,0.2916,0.32,-0.359,13053.98,16,0.438,1489.84,-875.28,1.32,159.46,2551.4,-1535.1,4585.05,55.5,0.051,"{2018: -0.0684, 2019: -0.0096, 2020: 0.5469, 2021: 0.1893, 2022: -0.2309}"
