symbol,signal,horizon,n_days,n_episodes,pct_days,cond_mean,uncond_mean,diff_ci90_lo,diff_ci90_hi,cond_p_gt5,uncond_p_gt5,cond_p_gt10,uncond_p_gt10,cond_p_lt_m10,uncond_p_lt_m10,cond_vol,uncond_vol
SPY,H1_dd8_ma20,21,1073,130,23.7,0.56,0.58,-0.87,0.95,14.3,11.6,1.0,1.4,1.7,2.5,4.6,4.6
SPY,H1_dd8_ma20,42,1073,130,23.7,0.32,1.15,-2.95,1.54,28.5,25.2,5.6,4.3,8.2,4.4,7.7,6.4
SPY,H1_dd8_ret5,21,471,170,10.4,0.39,0.58,-1.4,0.85,16.6,11.6,2.5,1.4,4.0,2.5,5.4,4.6
SPY,H1_dd8_ret5,42,471,170,10.4,0.65,1.15,-2.94,1.93,29.9,25.2,7.9,4.3,7.6,4.4,7.9,6.4
SPY,H1_dd8_zone,21,2003,10,44.2,0.29,0.58,-1.32,0.72,18.4,11.6,3.0,1.4,4.9,2.5,6.0,4.6
SPY,H1_dd8_zone,42,2003,10,44.2,0.41,1.15,-2.82,1.35,30.1,25.2,8.7,4.3,8.4,4.4,8.3,6.4
SPY,H1_dd10_ma20,21,928,111,20.5,0.66,0.58,-0.82,1.08,15.1,11.6,1.2,1.4,1.8,2.5,4.6,4.6
SPY,H1_dd10_ma20,42,928,111,20.5,0.4,1.15,-3.12,1.88,29.8,25.2,6.5,4.3,9.1,4.4,8.0,6.4
SPY,H1_dd10_ret5,21,416,149,9.2,0.46,0.58,-1.35,0.99,17.8,11.6,2.9,1.4,4.6,2.5,5.6,4.6
SPY,H1_dd10_ret5,42,416,149,9.2,0.83,1.15,-2.61,2.33,31.0,25.2,8.9,4.3,8.2,4.4,8.1,6.4
SPY,H1_dd10_zone,21,1758,8,38.8,0.27,0.58,-1.41,0.79,18.9,11.6,3.1,1.4,5.5,2.5,6.1,4.6
SPY,H1_dd10_zone,42,1758,8,38.8,0.44,1.15,-3.15,1.5,30.7,25.2,9.8,4.3,9.3,4.4,8.7,6.4
SPY,H1_dd15_ma20,21,648,79,14.3,0.35,0.58,-1.44,0.94,17.6,11.6,1.7,1.4,2.6,2.5,5.1,4.6
SPY,H1_dd15_ma20,42,648,79,14.3,0.0,1.15,-4.14,2.14,30.7,25.2,9.1,4.3,12.3,4.4,8.9,6.4
SPY,H1_dd15_ret5,21,331,110,7.3,0.51,0.58,-1.55,1.22,19.6,11.6,3.6,1.4,5.7,2.5,6.0,4.6
SPY,H1_dd15_ret5,42,331,110,7.3,0.86,1.15,-3.1,2.91,33.8,25.2,11.2,4.3,10.0,4.4,8.7,6.4
SPY,H1_dd15_zone,21,1287,5,28.4,-0.08,0.58,-2.12,0.71,21.1,11.6,4.1,1.4,7.5,2.5,6.8,4.6
SPY,H1_dd15_zone,42,1287,5,28.4,0.02,1.15,-4.07,1.69,31.1,25.2,12.5,4.3,12.3,4.4,9.6,6.4
SPY,H2_above_ma200,21,3199,68,70.6,0.87,0.58,-0.32,0.86,7.6,11.6,0.4,1.4,0.5,2.5,3.4,4.6
SPY,H2_above_ma200,42,3199,68,70.6,1.79,1.15,-0.45,1.82,23.5,25.2,1.6,4.3,1.3,4.4,4.4,6.4
SPY,H2_above_ma200_and_ma50,21,2545,149,56.2,0.62,0.58,-0.57,0.66,5.1,11.6,0.0,1.4,0.6,2.5,3.2,4.6
SPY,H2_above_ma200_and_ma50,42,2545,149,56.2,1.56,1.15,-0.68,1.6,20.0,25.2,1.2,4.3,1.3,4.4,4.3,6.4
SPY,H4_below_ma200,21,1327,66,29.3,-0.14,0.58,-2.19,0.52,21.1,11.6,3.8,1.4,7.3,2.5,6.7,4.6
SPY,H4_below_ma200,42,1327,66,29.3,-0.39,1.15,-4.27,0.93,29.4,25.2,10.8,4.3,11.8,4.4,9.4,6.4
SPY,H3_vix_lt_rv20,21,715,117,15.8,-3.11,-3.58,-3.11,4.29,,,,,,,13.8,9.0
SPY,H3_vix_lt_rv20,42,715,117,15.8,-4.4,-3.36,-4.65,2.54,,,,,,,12.6,9.8
QQQ,H1_dd8_ma20,21,1669,176,36.9,0.45,0.58,-1.53,1.03,24.3,21.7,4.6,4.8,7.8,6.9,6.9,7.0
QQQ,H1_dd8_ma20,42,1669,176,36.9,0.48,1.13,-3.22,1.91,35.5,35.2,13.4,11.6,12.5,10.4,10.4,9.8
