symbol,feature,target,n,ic_train,ci_lo,ci_hi,ic_valid,significant,stable
QQQ,slope_10y2y,fwd21_ret,1113,0.114,-0.053,0.281,0.016,False,False
QQQ,slope_10y2y,fwd21_tail,1113,-0.148,-0.303,0.014,-0.007,False,False
QQQ,slope_10y2y,fwd21_rv,1113,-0.172,-0.45,0.135,-0.045,False,False
QQQ,slope_10y3m,fwd21_ret,1113,-0.076,-0.264,0.137,0.007,False,False
QQQ,slope_10y3m,fwd21_tail,1113,0.076,-0.131,0.266,-0.007,False,False
QQQ,slope_10y3m,fwd21_rv,1113,0.145,-0.144,0.455,0.007,False,False
QQQ,y10_level,fwd21_ret,1113,-0.273,-0.453,-0.084,-0.072,True,True
QQQ,y10_level,fwd21_tail,1113,0.237,0.109,0.38,0.039,True,True
QQQ,y10_level,fwd21_rv,1113,0.187,-0.078,0.398,-0.166,False,False
QQQ,slope_10y2y_chg20,fwd21_ret,1113,0.209,0.044,0.315,-0.062,True,False
QQQ,slope_10y2y_chg20,fwd21_tail,1113,-0.104,-0.189,0.005,0.024,False,False
QQQ,slope_10y2y_chg20,fwd21_rv,1113,-0.16,-0.323,0.015,-0.132,False,False
QQQ,y10_chg20,fwd21_ret,1113,-0.105,-0.285,0.066,0.063,False,False
QQQ,y10_chg20,fwd21_tail,1113,0.158,-0.008,0.337,-0.058,False,False
QQQ,y10_chg20,fwd21_rv,1113,0.162,-0.062,0.389,-0.217,False,False
QQQ,cot_es_net_z52,fwd21_ret,1113,-0.147,-0.339,0.055,-0.027,False,False
QQQ,cot_es_net_z52,fwd21_tail,1113,0.026,-0.15,0.204,0.022,False,False
QQQ,cot_es_net_z52,fwd21_rv,1113,0.111,-0.085,0.336,-0.153,False,False
QQQ,sector_pe_median,fwd21_ret,1113,-0.047,-0.247,0.136,-0.127,False,False
QQQ,sector_pe_median,fwd21_tail,1113,-0.085,-0.203,0.066,0.068,False,False
QQQ,sector_pe_median,fwd21_rv,1113,-0.202,-0.413,0.051,0.284,False,False
QQQ,pe_tech_over_defensive,fwd21_ret,1113,-0.017,-0.217,0.186,-0.013,False,False
QQQ,pe_tech_over_defensive,fwd21_tail,1113,0.143,0.016,0.29,0.108,True,True
QQQ,pe_tech_over_defensive,fwd21_rv,1113,0.265,0.033,0.463,0.174,True,True
QQQ,sector_pe_median_chg13w,fwd21_ret,1113,-0.078,-0.288,0.117,-0.074,False,False
QQQ,sector_pe_median_chg13w,fwd21_tail,1113,0.058,-0.066,0.218,0.158,False,False
QQQ,sector_pe_median_chg13w,fwd21_rv,1113,0.104,-0.104,0.313,0.332,False,False
QQQ,earn_beat_rate_90d,fwd21_ret,1113,-0.047,-0.235,0.178,-0.236,False,False
QQQ,earn_beat_rate_90d,fwd21_tail,1113,-0.07,-0.218,0.078,0.074,False,False
QQQ,earn_beat_rate_90d,fwd21_rv,1113,-0.163,-0.371,0.081,-0.062,False,False
QQQ,earn_surprise_med_90d,fwd21_ret,1113,0.062,-0.088,0.228,0.146,False,False
QQQ,earn_surprise_med_90d,fwd21_tail,1113,-0.094,-0.249,0.048,-0.1,False,False
QQQ,earn_surprise_med_90d,fwd21_rv,1113,0.001,-0.287,0.285,-0.315,False,False
QQQ,earn_upcoming_21d,fwd21_ret,1113,-0.042,-0.189,0.09,0.158,False,False
QQQ,earn_upcoming_21d,fwd21_tail,1113,-0.003,-0.097,0.105,0.063,False,False
QQQ,earn_upcoming_21d,fwd21_rv,1113,0.022,-0.131,0.193,-0.023,False,False
QQQ,cpi_yoy,fwd21_ret,1113,-0.319,-0.467,-0.152,0.311,True,False
QQQ,cpi_yoy,fwd21_tail,1113,0.304,0.182,0.425,-0.035,True,False
QQQ,cpi_yoy,fwd21_rv,1113,0.322,0.053,0.523,-0.122,True,False
QQQ,unrate,fwd21_ret,1113,0.148,-0.021,0.334,-0.123,False,False
QQQ,unrate,fwd21_tail,1113,-0.183,-0.318,-0.03,0.021,True,False
QQQ,unrate,fwd21_rv,1113,-0.161,-0.401,0.102,0.035,False,False
QQQ,unrate_chg3m,fwd21_ret,1113,0.13,-0.072,0.341,-0.034,False,False
QQQ,unrate_chg3m,fwd21_tail,1113,-0.013,-0.181,0.146,-0.022,False,False
QQQ,unrate_chg3m,fwd21_rv,1113,0.009,-0.224,0.223,-0.263,False,False
QQQ,sentiment,fwd21_ret,1113,0.063,-0.145,0.282,-0.229,False,False
QQQ,sentiment,fwd21_tail,1113,-0.128,-0.336,0.077,0.018,False,False
QQQ,sentiment,fwd21_rv,1113,-0.288,-0.573,0.027,-0.009,False,False
QQQ,sentiment_chg6m,fwd21_ret,1113,0.083,-0.116,0.277,-0.0,False,False
QQQ,sentiment_chg6m,fwd21_tail,1113,-0.152,-0.288,0.003,0.132,False,False
QQQ,sentiment_chg6m,fwd21_rv,1113,-0.355,-0.534,-0.117,-0.038,True,True
QQQ,indpro_yoy,fwd21_ret,1113,-0.279,-0.461,-0.066,0.085,True,False
QQQ,indpro_yoy,fwd21_tail,1113,0.177,0.017,0.333,0.103,True,True
QQQ,indpro_yoy,fwd21_rv,1113,0.004,-0.279,0.273,-0.092,False,False
QQQ,absorption_chg_20d,fwd21_ret,1113,0.113,-0.062,0.275,0.082,False,False
QQQ,absorption_chg_20d,fwd21_tail,1113,-0.009,-0.153,0.104,-0.13,False,False
QQQ,absorption_chg_20d,fwd21_rv,1113,0.072,-0.111,0.24,-0.1,False,False
QQQ,absorption_ratio,fwd21_ret,1113,0.336,0.141,0.511,0.253,True,True
QQQ,absorption_ratio,fwd21_tail,1113,-0.155,-0.308,0.0,-0.092,False,False
QQQ,absorption_ratio,fwd21_rv,1113,0.029,-0.255,0.277,-0.148,False,False
QQQ,dist_from_ath,fwd21_ret,1113,-0.175,-0.387,0.028,-0.298,False,False
QQQ,dist_from_ath,fwd21_tail,1113,-0.027,-0.169,0.132,0.147,False,False
QQQ,dist_from_ath,fwd21_rv,1113,-0.263,-0.445,-0.053,0.152,True,False
QQQ,dist_ma200,fwd21_ret,1113,-0.087,-0.282,0.092,-0.455,False,False
QQQ,dist_ma200,fwd21_tail,1113,-0.098,-0.216,0.054,0.226,False,False
QQQ,dist_ma200,fwd21_rv,1113,-0.271,-0.472,0.005,0.18,False,False
QQQ,dist_ma50,fwd21_ret,1113,-0.087,-0.269,0.103,-0.294,False,False
QQQ,dist_ma50,fwd21_tail,1113,-0.017,-0.135,0.105,0.203,False,False
QQQ,dist_ma50,fwd21_rv,1113,-0.147,-0.32,0.054,0.17,False,False
QQQ,eqw_capw_vol_ratio_20,fwd21_ret,1113,0.227,0.045,0.393,0.124,True,True
QQQ,eqw_capw_vol_ratio_20,fwd21_tail,1113,-0.249,-0.361,-0.11,0.093,True,False
QQQ,eqw_capw_vol_ratio_20,fwd21_rv,1113,-0.305,-0.496,-0.083,0.04,True,False
QQQ,expected_move_30d,fwd21_ret,1113,0.078,-0.123,0.276,0.077,False,False
QQQ,expected_move_30d,fwd21_tail,1113,0.065,-0.111,0.194,-0.101,False,False
QQQ,expected_move_30d,fwd21_rv,1113,0.36,0.094,0.564,0.019,True,False
QQQ,hyg_lqd_ret20_diff,fwd21_ret,1113,-0.109,-0.288,0.039,0.096,False,False
QQQ,hyg_lqd_ret20_diff,fwd21_tail,1113,0.13,-0.023,0.282,-0.039,False,False
QQQ,hyg_lqd_ret20_diff,fwd21_rv,1113,0.168,-0.021,0.343,-0.14,False,False
QQQ,iv_minus_rv20,fwd21_ret,1113,-0.018,-0.185,0.146,-0.017,False,False
QQQ,iv_minus_rv20,fwd21_tail,1113,-0.11,-0.216,0.006,0.089,False,False
QQQ,iv_minus_rv20,fwd21_rv,1113,-0.066,-0.243,0.098,-0.008,False,False
QQQ,iwm_spy_ret20_diff,fwd21_ret,1113,0.173,0.008,0.324,0.064,True,True
QQQ,iwm_spy_ret20_diff,fwd21_tail,1113,-0.131,-0.257,-0.012,-0.044,True,True
QQQ,iwm_spy_ret20_diff,fwd21_rv,1113,-0.118,-0.269,0.025,0.157,False,False
QQQ,ma50_slope_20d,fwd21_ret,1113,-0.088,-0.301,0.096,-0.334,False,False
QQQ,ma50_slope_20d,fwd21_tail,1113,-0.013,-0.134,0.124,0.115,False,False
QQQ,ma50_slope_20d,fwd21_rv,1113,-0.04,-0.263,0.186,0.173,False,False
QQQ,pc1_loading_dispersion,fwd21_ret,1113,-0.341,-0.499,-0.152,-0.234,True,True
QQQ,pc1_loading_dispersion,fwd21_tail,1113,0.196,0.05,0.351,0.035,True,True
QQQ,pc1_loading_dispersion,fwd21_rv,1113,0.021,-0.231,0.267,0.054,False,False
QQQ,qqq_spy_ret20_diff,fwd21_ret,1113,0.014,-0.166,0.207,-0.04,False,False
QQQ,qqq_spy_ret20_diff,fwd21_tail,1113,-0.056,-0.2,0.109,0.132,False,False
QQQ,qqq_spy_ret20_diff,fwd21_rv,1113,-0.095,-0.289,0.129,0.05,False,False
QQQ,rate_3m_chg_20d,fwd21_ret,1113,-0.202,-0.324,-0.008,-0.028,True,False
