block,scenario,delta,roll,dte,budget,band,lag,cagr,sharpe,maxdd,n,ev,run_id
A_neighborhood,base,0.4,14,60,0.1,0.01,0,0.2654,1.09,-0.2273,29,601.51,H2_QQQ_base_06f602a4
A_neighborhood,base,0.5,21,60,0.1,0.01,0,0.1392,0.75,-0.2003,35,204.45,H2_QQQ_base_8b907f56
A_neighborhood,base,0.5,14,60,0.1,0.01,0,0.2415,1.25,-0.1837,29,524.33,H2_QQQ_base_5712cc66
A_neighborhood,base,0.4,21,45,0.1,0.01,0,0.2023,0.83,-0.2591,51,232.28,H2_QQQ_base_3e711f22
A_neighborhood,base,0.4,21,60,0.1,0.01,0,0.172,0.77,-0.2755,36,263.18,H2_QQQ_base_693674c5
A_neighborhood,base,0.5,14,45,0.1,0.01,0,0.1622,0.81,-0.2372,41,213.75,H2_QQQ_base_a0e05b4c
A_neighborhood,base,0.4,14,45,0.1,0.01,0,0.1646,0.72,-0.2954,40,223.85,H2_QQQ_base_cec22b76
A_neighborhood,base,0.4,30,60,0.1,0.01,0,0.1743,0.85,-0.2211,42,229.84,H2_QQQ_base_6d8e24e3
A_neighborhood,base,0.5,21,45,0.1,0.01,0,0.1188,0.65,-0.207,50,116.68,H2_QQQ_base_63440bb6
A_neighborhood,base,0.4,30,45,0.1,0.01,0,0.2441,1.04,-0.2027,77,200.49,H2_QQQ_base_27e016e3
A_neighborhood,base,0.5,30,60,0.1,0.01,0,0.1335,0.82,-0.2045,41,165.23,H2_QQQ_base_27d6af57
A_neighborhood,base,0.5,30,45,0.1,0.01,0,0.1417,0.8,-0.2048,77,95.26,H2_QQQ_base_b414b7b6
A_neighborhood,base,0.6,14,45,0.1,0.01,0,0.1193,0.7,-0.205,38,153.99,H2_QQQ_base_ecf5fc12
B_band,base,0.5,21,60,0.1,0.02,0,0.1405,0.77,-0.1994,33,219.38,H2_QQQ_base_25a98f61
A_neighborhood,base,0.6,21,45,0.1,0.01,0,0.0921,0.54,-0.2025,47,89.31,H2_QQQ_base_51c1779c
B_band,base,0.5,21,60,0.1,0.0,0,0.1016,0.58,-0.2061,44,108.23,H2_QQQ_base_c2ef2164
A_neighborhood,base,0.6,14,60,0.1,0.01,0,0.1429,0.84,-0.1778,26,284.76,H2_QQQ_base_e5783a1b
A_neighborhood,base,0.6,30,45,0.1,0.01,0,0.1534,0.99,-0.1331,72,113.12,H2_QQQ_base_c52a353f
A_neighborhood,base,0.6,21,60,0.1,0.01,0,0.0813,0.59,-0.1575,21,169.92,H2_QQQ_base_4ff18f07
A_neighborhood,base,0.6,30,60,0.1,0.01,0,0.0828,0.68,-0.1424,25,146.26,H2_QQQ_base_2396555e
B_lag,base,0.5,21,60,0.1,0.01,2,0.1181,0.65,-0.1892,35,164.91,H2_QQQ_base_ac2ae6e7
B_lag,base,0.5,21,60,0.1,0.01,1,0.1345,0.74,-0.1846,34,201.15,H2_QQQ_base_8062ab04
A_budget,base,0.5,21,60,0.12,0.01,0,0.1508,0.76,-0.2527,36,220.77,H2_QQQ_base_51ee51fa
C_stress,stress,0.5,21,60,0.1,0.01,0,0.122,0.66,-0.2063,35,171.51,H2_QQQ_stress_8b907f56
A_budget,base,0.5,21,60,0.08,0.01,0,0.1099,0.71,-0.1639,32,164.25,H2_QQQ_base_db2e7a41
A_budget,base,0.5,21,60,0.06,0.01,0,0.069,0.68,-0.1406,18,159.68,H2_QQQ_base_102c5871
