block,scenario,delta,roll,dte,budget,band,lag,cagr,sharpe,maxdd,n,ev,run_id
A_neighborhood,base,0.5,14,45,0.1,0.01,0,0.054,0.31,-0.2486,43,47.96,H2_SPY_base_a0e05b4c
A_neighborhood,base,0.5,14,60,0.1,0.01,0,0.0638,0.38,-0.2378,31,83.34,H2_SPY_base_5712cc66
A_neighborhood,base,0.4,30,60,0.1,0.01,0,0.0639,0.38,-0.2321,44,59.05,H2_SPY_base_6d8e24e3
A_neighborhood,base,0.4,21,60,0.1,0.01,0,0.0778,0.42,-0.2497,38,88.14,H2_SPY_base_693674c5
A_neighborhood,base,0.4,14,60,0.1,0.01,0,0.0442,0.26,-0.2227,31,50.72,H2_SPY_base_06f602a4
A_neighborhood,base,0.5,21,45,0.1,0.01,0,0.0786,0.46,-0.169,53,64.11,H2_SPY_base_63440bb6
A_neighborhood,base,0.4,14,45,0.1,0.01,0,0.0197,0.16,-0.2928,43,9.58,H2_SPY_base_cec22b76
A_neighborhood,base,0.4,21,45,0.1,0.01,0,0.114,0.55,-0.2399,54,101.89,H2_SPY_base_3e711f22
A_neighborhood,base,0.4,30,45,0.1,0.01,0,0.1285,0.64,-0.2345,78,82.37,H2_SPY_base_27e016e3
A_neighborhood,base,0.5,21,60,0.1,0.01,0,0.0227,0.15,-0.258,36,14.53,H2_SPY_base_8b907f56
A_neighborhood,base,0.6,14,45,0.1,0.01,0,0.0811,0.5,-0.2064,37,96.4,H2_SPY_base_ecf5fc12
A_neighborhood,base,0.5,30,45,0.1,0.01,0,0.0679,0.4,-0.195,78,36.03,H2_SPY_base_b414b7b6
A_neighborhood,base,0.5,30,60,0.1,0.01,0,0.0628,0.39,-0.2468,44,57.64,H2_SPY_base_27d6af57
A_neighborhood,base,0.6,21,45,0.1,0.01,0,0.0708,0.44,-0.2175,45,66.46,H2_SPY_base_51c1779c
B_band,base,0.5,21,60,0.1,0.02,0,0.0201,0.14,-0.2648,34,12.08,H2_SPY_base_25a98f61
B_band,base,0.5,21,60,0.1,0.0,0,0.0106,0.09,-0.2323,37,-0.44,H2_SPY_base_c2ef2164
A_neighborhood,base,0.6,30,45,0.1,0.01,0,0.0699,0.47,-0.1909,64,46.07,H2_SPY_base_c52a353f
A_neighborhood,base,0.6,14,60,0.1,0.01,0,0.0639,0.46,-0.1964,20,130.49,H2_SPY_base_e5783a1b
A_neighborhood,base,0.6,21,60,0.1,0.01,0,0.0011,-0.04,-0.1957,18,-23.44,H2_SPY_base_4ff18f07
A_neighborhood,base,0.6,30,60,0.1,0.01,0,-0.0126,-0.17,-0.236,23,-43.86,H2_SPY_base_2396555e
A_budget,base,0.5,21,60,0.12,0.01,0,-0.0033,0.04,-0.2771,38,-16.7,H2_SPY_base_51ee51fa
B_lag,base,0.5,21,60,0.1,0.01,2,0.0195,0.14,-0.2335,34,11.09,H2_SPY_base_ac2ae6e7
B_lag,base,0.5,21,60,0.1,0.01,1,0.0106,0.09,-0.249,33,-0.96,H2_SPY_base_8062ab04
C_stress,stress,0.5,21,60,0.1,0.01,0,0.0073,0.07,-0.2857,36,-5.31,H2_SPY_stress_8b907f56
A_budget,base,0.5,21,60,0.08,0.01,0,0.0245,0.17,-0.1886,21,29.89,H2_SPY_base_db2e7a41
A_budget,base,0.5,21,60,0.06,0.01,0,0.0139,0.07,-0.1169,14,9.46,H2_SPY_base_102c5871
