run_id,hyp,symbol,scenario,params,cagr,ann_vol,sharpe,max_drawdown,final_equity,n_trades,win_rate,avg_win,avg_loss,profit_factor,ev_per_trade,total_pnl,worst_trade,best_trade,median_holding_days,util,yearly
H5_SLV_base_06dfc5ec,H5,SLV,base,"{'target_delta': -0.3, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 1.1, 'manage_dte': 7, 'budget_frac': 0.8}",0.0379,0.0476,0.93,-0.0448,11774.99,38,1.0,26.99,0,inf,26.99,1025.7,9.55,75.35,32.0,0.171,"{2018: 0.0116, 2019: 0.0424, 2020: 0.0655, 2021: 0.0073, 2022: 0.0405}"
H5_SLV_base_4e305c35,H5,SLV,base,"{'target_delta': -0.25, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 1.1, 'manage_dte': 7, 'budget_frac': 0.8}",0.0355,0.0477,0.86,-0.0538,11658.2,38,1.0,25.24,0,inf,25.24,958.95,7.1,58.55,32.0,0.172,"{2018: 0.0116, 2019: 0.0367, 2020: 0.0671, 2021: 0.0111, 2022: 0.0303}"
H5_SLV_base_9c1b0320,H5,SLV,base,"{'target_delta': -0.3, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 0.5, 'manage_dte': 7, 'budget_frac': 0.8}",0.0301,0.0535,0.64,-0.0611,11394.7,36,1.0,27.23,0,inf,27.23,980.15,7.1,101.1,32.0,0.176,"{2018: 0.0116, 2019: 0.032, 2020: 0.0634, 2021: -0.0015, 2022: 0.0279}"
H5_SLV_base_6122412d,H5,SLV,base,"{'target_delta': -0.2, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 0.5, 'manage_dte': 7, 'budget_frac': 0.8}",0.0298,0.0521,0.64,-0.0612,11377.17,35,1.0,24.49,0,inf,24.49,857.05,9.1,71.05,32.0,0.172,"{2018: 0.0116, 2019: 0.0374, 2020: 0.0562, 2021: -0.0015, 2022: 0.0279}"
H5_SLV_base_ec0c9aca,H5,SLV,base,"{'target_delta': -0.2, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 1.1, 'manage_dte': 7, 'budget_frac': 0.8}",0.0288,0.0508,0.63,-0.0615,11329.63,33,1.0,25.82,0,inf,25.82,851.95,7.85,71.05,32.0,0.171,"{2018: 0.0116, 2019: 0.0394, 2020: 0.0497, 2021: -0.0015, 2022: 0.0279}"
H5_SLV_base_233feea3,H5,SLV,base,"{'target_delta': -0.25, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 0.5, 'manage_dte': 7, 'budget_frac': 0.8}",0.0292,0.0464,0.7,-0.0577,11348.55,41,1.0,21.68,0,inf,21.68,888.75,7.1,48.35,32.0,0.169,"{2018: 0.0116, 2019: 0.0382, 2020: 0.0475, 2021: 0.0051, 2022: 0.0262}"
H5_EWZ_base_6122412d,H5,EWZ,base,"{'target_delta': -0.2, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 0.5, 'manage_dte': 7, 'budget_frac': 0.8}",0.0333,0.1085,0.32,-0.1671,11553.16,29,1.0,43.83,0,inf,43.83,1271.05,23.35,86.3,23.0,0.305,"{2018: 0.0562, 2019: 0.0918, 2020: -0.0085, 2021: -0.0388, 2022: 0.0514}"
H5_EWZ_base_ec0c9aca,H5,EWZ,base,"{'target_delta': -0.2, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 1.1, 'manage_dte': 7, 'budget_frac': 0.8}",0.0196,0.1131,0.17,-0.1935,10892.4,17,1.0,51.55,0,inf,51.55,876.3,35.6,86.3,34.0,0.315,"{2018: 0.0549, 2019: 0.081, 2020: -0.038, 2021: -0.0518, 2022: 0.0473}"
H5_EWZ_base_233feea3,H5,EWZ,base,"{'target_delta': -0.25, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 0.5, 'manage_dte': 7, 'budget_frac': 0.8}",0.0374,0.1089,0.36,-0.1643,11754.39,27,1.0,49.39,0,inf,49.39,1333.5,31.1,86.3,25.0,0.304,"{2018: 0.0528, 2019: 0.1138, 2020: -0.008, 2021: -0.0382, 2022: 0.0508}"
H5_EWZ_base_9c1b0320,H5,EWZ,base,"{'target_delta': -0.3, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 0.5, 'manage_dte': 7, 'budget_frac': 0.8}",0.0336,0.1097,0.32,-0.1728,11569.95,24,1.0,56.3,0,inf,56.3,1351.3,32.85,88.8,27.0,0.306,"{2018: 0.0594, 2019: 0.1122, 2020: -0.0171, 2021: -0.0443, 2022: 0.0454}"
