preloaded 1977 session snapshots in 26s
no quotes for T0014 at 2020-06-23; mark is stale
no quotes for T0018 at 2021-01-05; mark is stale
no quotes for T0019 at 2021-01-05; mark is stale
no quotes for T0022 at 2021-07-21; mark is stale
no quotes for T0023 at 2021-07-21; mark is stale
no quotes for T0025 at 2021-11-17; mark is stale
no quotes for T0026 at 2021-11-17; mark is stale
no quotes for T0025 at 2021-11-19; mark is stale
no quotes for T0026 at 2021-11-19; mark is stale
no quotes for T0034 at 2023-08-24; mark is stale
no quotes for T0035 at 2023-12-28; mark is stale
no quotes for T0035 at 2023-12-29; mark is stale
no quotes for T0035 at 2024-01-02; mark is stale
no quotes for T0035 at 2024-01-03; mark is stale
no quotes for T0035 at 2024-01-04; mark is stale
no quotes for T0035 at 2024-01-05; mark is stale
no quotes for T0035 at 2024-01-08; mark is stale
no quotes for T0035 at 2024-01-09; mark is stale
no quotes for T0035 at 2024-01-10; mark is stale
no quotes for T0035 at 2024-01-11; mark is stale
no quotes for T0035 at 2024-01-12; mark is stale
no quotes for T0035 at 2024-01-16; mark is stale
no quotes for T0035 at 2024-01-17; mark is stale
no quotes for T0035 at 2024-01-18; mark is stale
T0035 expires today with no quotes; closing at intrinsic
T0066 expires today with no quotes; closing at intrinsic
T0071 expires today with no quotes; closing at intrinsic
no quotes for T0096 at 2020-06-23; mark is stale
no quotes for T0097 at 2020-06-23; mark is stale
no quotes for T0098 at 2020-06-23; mark is stale
no quotes for T0099 at 2020-06-23; mark is stale
no quotes for T0100 at 2020-06-23; mark is stale
T0118 expires today with no quotes; closing at intrinsic
T0122 expires today with no quotes; closing at intrinsic
no quotes for T0124 at 2021-01-05; mark is stale
no quotes for T0125 at 2021-01-05; mark is stale
no quotes for T0126 at 2021-01-05; mark is stale
no quotes for T0127 at 2021-01-05; mark is stale
no quotes for T0128 at 2021-01-05; mark is stale
no quotes for T0145 at 2021-06-01; mark is stale
no quotes for T0146 at 2021-06-01; mark is stale
no quotes for T0147 at 2021-06-01; mark is stale
no quotes for T0148 at 2021-06-01; mark is stale
no quotes for T0147 at 2021-06-14; mark is stale
no quotes for T0148 at 2021-06-14; mark is stale
no quotes for T0149 at 2021-06-14; mark is stale
T0150 expires today with no quotes; closing at intrinsic
no quotes for T0151 at 2021-07-21; mark is stale
no quotes for T0152 at 2021-07-21; mark is stale
no quotes for T0153 at 2021-07-21; mark is stale
no quotes for T0154 at 2021-07-21; mark is stale
no quotes for T0153 at 2021-08-05; mark is stale
no quotes for T0154 at 2021-08-05; mark is stale
no quotes for T0155 at 2021-08-05; mark is stale
no quotes for T0156 at 2021-08-05; mark is stale
no quotes for T0153 at 2021-08-06; mark is stale
no quotes for T0154 at 2021-08-06; mark is stale
no quotes for T0155 at 2021-08-06; mark is stale
no quotes for T0156 at 2021-08-06; mark is stale
no quotes for T0158 at 2021-09-10; mark is stale
no quotes for T0159 at 2021-09-10; mark is stale
no quotes for T0160 at 2021-09-10; mark is stale
no quotes for T0161 at 2021-09-10; mark is stale
no quotes for T0163 at 2021-10-18; mark is stale
no quotes for T0164 at 2021-10-18; mark is stale
no quotes for T0165 at 2021-10-18; mark is stale
no quotes for T0166 at 2021-10-18; mark is stale
no quotes for T0167 at 2021-11-17; mark is stale
no quotes for T0168 at 2021-11-17; mark is stale
