2018-08: 23 sessions, 33462 rows
2018-09: 19 sessions, 25566 rows
2018-10: 23 sessions, 33376 rows
2018-11: 21 sessions, 36548 rows
2018-12: 19 sessions, 34160 rows
2019-01: 21 sessions, 35734 rows
2019-02: 19 sessions, 29238 rows
2019-03: 21 sessions, 29004 rows
2019-04: 21 sessions, 29316 rows
2019-05: 22 sessions, 31154 rows
2019-06: 20 sessions, 29288 rows
2019-07: 22 sessions, 31710 rows
2019-08: 22 sessions, 36040 rows
2019-09: 20 sessions, 33170 rows
2019-10: 23 sessions, 33306 rows
2019-11: 19 sessions, 31850 rows
2019-12: 20 sessions, 37232 rows
2020-01: 21 sessions, 32634 rows
2020-02: 19 sessions, 33244 rows
2020-03: 22 sessions, 42138 rows
2020-04: 21 sessions, 36540 rows
2020-05: 20 sessions, 39364 rows
2020-06: 21 sessions, 39702 rows
2020-07: 22 sessions, 49068 rows
2020-08: 21 sessions, 51192 rows
2020-09: 21 sessions, 55638 rows
2020-10: 22 sessions, 47666 rows
2020-11: 19 sessions, 50194 rows
2020-12: 21 sessions, 49788 rows
2021-01: 18 sessions, 43268 rows
2021-02: 19 sessions, 52341 rows
2021-03: 23 sessions, 57494 rows
2021-04: 21 sessions, 49392 rows
2021-05: 20 sessions, 88168 rows
2021-06: 20 sessions, 84694 rows
2021-07: 20 sessions, 81212 rows
2021-08: 20 sessions, 85112 rows
2021-09: 20 sessions, 91277 rows
2021-10: 20 sessions, 92798 rows
2021-11: 19 sessions, 96288 rows
2021-12: 22 sessions, 100530 rows
2022-01: 20 sessions, 89050 rows
2022-02: 17 sessions, 83746 rows
2022-03: 22 sessions, 98670 rows
2022-04: 20 sessions, 87176 rows
2022-05: 21 sessions, 94162 rows
2022-06: 21 sessions, 94298 rows
2022-07: 20 sessions, 78960 rows
2022-08: 22 sessions, 93454 rows
2022-09: 21 sessions, 81650 rows
2022-10: 21 sessions, 79480 rows
2022-11: 20 sessions, 76230 rows
2022-12: 21 sessions, 65226 rows
2023-01: 20 sessions, 62806 rows
2023-02: 19 sessions, 64774 rows
2023-03: 23 sessions, 78900 rows
2023-04: 19 sessions, 65934 rows
2023-05: 22 sessions, 78602 rows
2023-06: 21 sessions, 70978 rows
2023-07: 19 sessions, 75812 rows
2023-08: 22 sessions, 88884 rows
2023-09: 20 sessions, 75396 rows
2023-10: 22 sessions, 85958 rows
2023-11: 19 sessions, 77038 rows
2023-12: 20 sessions, 82236 rows
2024-01: 21 sessions, 91938 rows
2024-02: 20 sessions, 82428 rows
2024-03: 20 sessions, 80706 rows
2024-04: 22 sessions, 88426 rows
2024-05: 22 sessions, 94266 rows
2024-06: 19 sessions, 70572 rows
2024-07: 22 sessions, 75378 rows
2024-08: 22 sessions, 98904 rows
2024-09: 20 sessions, 76060 rows
2024-10: 23 sessions, 80476 rows
2024-11: 20 sessions, 81592 rows
2024-12: 20 sessions, 79242 rows
2025-01: 20 sessions, 75110 rows
2025-02: 19 sessions, 75990 rows
2025-03: 21 sessions, 97038 rows
2025-04: 21 sessions, 113742 rows
2025-05: 21 sessions, 97732 rows
2025-06: 20 sessions, 85668 rows
2025-07: 22 sessions, 90848 rows
2025-08: 21 sessions, 81712 rows
2025-09: 21 sessions, 89430 rows
2025-10: 23 sessions, 96460 rows
2025-11: 18 sessions, 80166 rows
2025-12: 21 sessions, 88004 rows
2026-01: 20 sessions, 77182 rows
2026-02: 19 sessions, 87334 rows
2026-03: 22 sessions, 113152 rows
2026-04: 21 sessions, 113010 rows
2026-05: 20 sessions, 127686 rows
2026-06: 21 sessions, 135032 rows
2026-07: 15 sessions, 90464 rows
warning: underlying EOD pull failed: request failed: /v3/stock/history/eod: HTTP Error 403: Forbidden
{
  "months_written": 96,
  "months_skipped_existing": 0,
  "empty_sessions": 0,
  "session_errors": {
    "2018-09-03": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2018-11-22": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2018-12-05": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2018-12-25": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2019-01-01": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2019-01-21": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2019-02-18": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2019-04-19": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2019-05-27": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2019-07-04": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2019-09-02": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2019-11-28": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2019-11-29": "no underlying price (stock quote unavailable and parity fallback lacked usable pairs); session skipped",
    "2019-12-25": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2019-12-31": "no underlying price (stock quote unavailable and parity fallback lacked usable pairs); session skipped",
    "2020-01-01": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2020-01-20": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2020-02-17": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2020-04-10": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2020-05-25": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2020-06-23": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2020-07-03": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2020-09-07": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2020-11-26": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2020-11-27": "no underlying price (stock quote unavailable and parity fallback lacked usable pairs); session skipped",
    "2020-12-24": "no underlying price (stock quote unavailable and parity fallback lacked usable pairs); session skipped",
    "2020-12-25": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2021-01-01": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2021-01-05": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2021-01-18": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2021-02-15": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2021-04-02": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2021-05-31": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2021-06-01": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2021-06-14": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2021-07-05": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2021-07-21": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2021-08-05": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2021-08-06": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2021-09-06": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2021-09-10": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2021-10-18": "no underlying price (stock quote unavailable and parity fallback lacked usable pairs); session skipped",
    "2021-11-17": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2021-11-19": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2021-11-25": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2021-12-24": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2022-01-17": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2022-02-02": "request failed: /v3/option/history/quote: HTTP Error 503: Service Unavailable",
    "2022-02-16": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2022-02-21": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2022-03-15": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2022-04-15": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2022-05-30": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2022-06-20": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2022-07-04": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2022-08-02": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2022-09-05": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2022-11-24": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2022-11-25": "no underlying price (stock quote unavailable and parity fallback lacked usable pairs); session skipped",
    "2022-12-26": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2023-01-02": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2023-01-16": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2023-02-20": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2023-04-07": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2023-05-29": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2023-06-19": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2023-07-03": "no underlying price (stock quote unavailable and parity fallback lacked usable pairs); session skipped",
    "2023-07-04": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2023-08-24": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2023-09-04": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2023-11-15": "request failed: /v3/option/history/quote: HTTP Error 500: Server Error",
    "2023-11-23": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2023-11-24": "no underlying price (stock quote unavailable and parity fallback lacked usable pairs); session skipped",
    "2023-12-25": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2024-01-01": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2024-01-15": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2024-02-19": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2024-03-29": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2024-05-27": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2024-06-19": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2024-07-04": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2024-09-02": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2024-11-28": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2024-12-24": "no underlying price (stock quote unavailable and parity fallback lacked usable pairs); session skipped",
    "2024-12-25": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2025-01-01": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2025-01-09": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2025-01-20": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2025-02-17": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2025-04-18": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2025-05-26": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2025-06-19": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2025-07-04": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2025-09-01": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2025-11-27": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2025-11-28": "no underlying price (stock quote unavailable and parity fallback lacked usable pairs); session skipped",
    "2025-12-24": "no underlying price (stock quote unavailable and parity fallback lacked usable pairs); session skipped",
    "2025-12-25": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2026-01-01": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2026-01-19": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2026-02-16": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2026-04-03": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2026-05-25": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2026-06-19": "request failed: /v3/option/history/quote: HTTP Error 472: 472",
    "2026-07-03": "request failed: /v3/option/history/quote: HTTP Error 472: 472"
  },
  "underlying_price_methods": {
    "stock_quote": 0,
    "parity_implied": 1976
  },
  "out_dir": "data/normalized/options/qqq"
}
